# Edge Case 20: Bidirectional Corridor Squeeze
# Tests dual parallel multi-lane highways (upper and lower corridors) with high zone capacities,
# connected by narrow diagonal cross-over links throttled to max_link_capacity=1.
# Tests concurrent throughput along parallel corridors and link capacity enforcement on cross-switches.

nb_drones: 12

start_hub: start 0 0 [color=green]
hub: upper_1 1 1 [zone=normal color=blue max_drones=3]
hub: upper_2 2 1 [zone=normal color=blue max_drones=3]
hub: upper_3 3 1 [zone=normal color=blue max_drones=3]
hub: lower_1 1 -1 [zone=normal color=cyan max_drones=3]
hub: lower_2 2 -1 [zone=normal color=cyan max_drones=3]
hub: lower_3 3 -1 [zone=normal color=cyan max_drones=3]
end_hub: goal 4 0 [color=green]

# Inflow to corridors
connection: start-upper_1 [max_link_capacity=3]
connection: start-lower_1 [max_link_capacity=3]

# Highway segments
connection: upper_1-upper_2 [max_link_capacity=2]
connection: upper_2-upper_3 [max_link_capacity=2]
connection: upper_3-goal [max_link_capacity=3]

connection: lower_1-lower_2 [max_link_capacity=2]
connection: lower_2-lower_3 [max_link_capacity=2]
connection: lower_3-goal [max_link_capacity=3]

# Diagonal squeeze cross-links
connection: upper_1-lower_2 [max_link_capacity=1]
connection: lower_1-upper_2 [max_link_capacity=1]
